gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group A,associate's degree,standard,completed,100,100,100
male,group C,master's degree,standard,none,78,77,78
male,group C,master's degree,standard,completed,94,96,94
male,group B,bachelor's degree,free/reduced,completed,79,83,84
male,group E,some high school,free/reduced,none,60,58,58
female,group D,bachelor's degree,standard,none,81,86,85
female,group D,high school,free/reduced,completed,85,82,80
male,group C,high school,free/reduced,completed,74,77,72
female,group B,some college,standard,none,79,81,79
female,group D,high school,standard,completed,100,99,98
male,group C,some college,free/reduced,completed,78,80,76
male,group E,associate's degree,free/reduced,none,57,58,51
female,group D,bachelor's degree,standard,completed,100,100,100
male,group C,associate's degree,standard,none,77,70,70
female,group C,high school,standard,completed,91,88,91
male,group A,associate's degree,free/reduced,none,55,49,52
female,group E,associate's degree,standard,completed,100,100,100
male,group A,associate's degree,standard,none,73,74,77
female,group B,high school,free/reduced,completed,77,75,70
female,group A,some high school,free/reduced,none,67,62,63
female,group A,associate's degree,free/reduced,completed,83,84,82
male,group D,some college,free/reduced,completed,74,73,76
female,group C,high school,free/reduced,completed,78,77,79
female,group E,associate's degree,standard,completed,100,100,100
male,group A,some high school,standard,completed,85,88,90
male,group E,high school,free/reduced,completed,79,77,77
female,group A,master's degree,free/reduced,completed,94,94,90
female,group B,some high school,free/reduced,completed,83,79,82
male,group A,some college,free/reduced,completed,85,85,87
male,group D,associate's degree,free/reduced,none,56,56,60
male,group C,master's degree,standard,none,73,77,75
male,group B,master's degree,standard,completed,93,91,91
male,group A,high school,standard,none,72,72,66
female,group E,master's degree,standard,completed,100,100,100
male,group B,some college,free/reduced,completed,81,78,79
female,group B,some college,standard,none,82,77,77
female,group A,bachelor's degree,free/reduced,completed,95,95,97
female,group B,some college,free/reduced,completed,86,83,85
male,group E,some high school,free/reduced,none,50,51,54
female,group B,master's degree,standard,none,85,86,85
female,group E,some college,free/reduced,completed,77,82,82
male,group A,high school,standard,none,71,71,71
female,group C,bachelor's degree,standard,none,86,85,85
female,group B,master's degree,free/reduced,completed,88,90,87
male,group C,bachelor's degree,free/reduced,none,68,63,71
female,group E,master's degree,free/reduced,none,67,62,66
female,group B,high school,standard,completed,99,98,99
female,group D,bachelor's degree,free/reduced,none,79,81,81
male,group C,associate's degree,standard,none,68,68,68
male,group B,some high school,free/reduced,completed,67,69,71
male,group C,some high school,free/reduced,completed,76,72,75
female,group B,master's degree,standard,completed,100,100,100
female,group A,associate's degree,standard,none,87,87,86
male,group C,bachelor's degree,standard,completed,100,100,99
female,group D,associate's degree,standard,completed,100,100,100
female,group D,associate's degree,standard,none,68,67,72
male,group E,bachelor's degree,standard,completed,100,100,100
male,group B,high school,free/reduced,completed,69,71,71
female,group C,associate's degree,free/reduced,completed,80,79,80
female,group E,associate's degree,standard,completed,98,99,100
female,group C,high school,free/reduced,none,51,55,54
male,group B,associate's degree,standard,completed,94,100,95
male,group D,associate's degree,free/reduced,completed,79,81,79
male,group A,associate's degree,free/reduced,none,60,62,60
male,group D,some high school,standard,completed,96,93,93
female,group E,some college,standard,none,88,89,89
male,group A,high school,standard,none,69,66,69
male,group E,associate's degree,free/reduced,none,60,64,63
male,group B,some high school,standard,completed,91,90,91
male,group A,high school,free/reduced,none,52,59,57
male,group E,master's degree,standard,none,82,83,78
female,group B,master's degree,free/reduced,none,79,77,79
female,group D,associate's degree,free/reduced,completed,81,82,81
male,group B,some high school,standard,completed,82,83,82
female,group C,some high school,free/reduced,completed,73,77,75
male,group B,high school,free/reduced,completed,77,77,79
male,group B,high school,standard,completed,91,90,91
female,group C,some high school,free/reduced,completed,78,79,75
female,group E,high school,standard,completed,88,86,90
male,group E,some high school,standard,none,72,72,70
male,group B,some college,standard,none,78,79,80
male,group C,some high school,standard,none,70,73,69
female,group C,master's degree,free/reduced,none,68,67,66
male,group D,high school,free/reduced,completed,74,75,75
male,group E,some high school,free/reduced,none,53,56,53
male,group A,some high school,standard,none,73,72,70
female,group E,high school,free/reduced,none,52,54,53
male,group E,some college,free/reduced,none,59,58,61
male,group D,some college,standard,completed,89,93,94
female,group A,high school,standard,completed,94,100,100
male,group D,bachelor's degree,free/reduced,completed,87,86,85
male,group A,high school,standard,none,75,77,72
female,group B,high school,standard,completed,95,95,93
male,group A,some college,standard,none,73,76,72
female,group D,some college,standard,completed,100,100,100
female,group E,high school,free/reduced,completed,81,83,80
male,group A,high school,standard,completed,85,86,84
male,group A,high school,standard,completed,96,94,95
male,group C,some college,standard,completed,92,93,96
male,group E,high school,standard,none,71,70,70
female,group B,high school,standard,completed,100,100,100
male,group D,associate's degree,standard,none,70,65,69
female,group B,bachelor's degree,standard,none,80,85,85
male,group E,master's degree,standard,none,79,84,83
male,group A,bachelor's degree,free/reduced,none,69,68,68
male,group A,associate's degree,standard,none,72,66,68
female,group E,master's degree,free/reduced,completed,81,84,80
male,group A,high school,standard,completed,93,95,96
male,group A,associate's degree,standard,completed,93,93,92
male,group A,high school,standard,completed,86,85,87
male,group D,some college,standard,none,85,86,81
female,group D,some high school,free/reduced,completed,77,76,82
male,group C,associate's degree,standard,completed,97,96,97
female,group B,some college,standard,none,76,81,76
female,group E,associate's degree,free/reduced,none,58,59,58
female,group E,associate's degree,free/reduced,completed,89,88,90
female,group E,some college,standard,completed,100,100,100
female,group C,master's degree,free/reduced,none,72,70,71
female,group D,bachelor's degree,free/reduced,completed,85,86,89
male,group C,high school,free/reduced,completed,73,72,74
female,group E,associate's degree,standard,completed,100,100,100
female,group B,high school,standard,completed,94,95,95
female,group A,some high school,standard,none,72,73,72
male,group D,some college,free/reduced,none,64,61,60
male,group D,high school,standard,none,69,70,73
female,group C,some college,free/reduced,completed,91,91,97
male,group D,high school,standard,completed,79,81,81
female,group E,bachelor's degree,standard,completed,100,100,100
female,group E,bachelor's degree,free/reduced,completed,86,88,84
male,group C,bachelor's degree,standard,completed,92,96,94
female,group E,bachelor's degree,free/reduced,none,65,68,70
male,group B,bachelor's degree,free/reduced,completed,83,84,86
male,group C,bachelor's degree,standard,completed,98,99,100
female,group B,some college,free/reduced,none,57,55,58
female,group A,associate's degree,standard,completed,98,95,95
male,group B,high school,standard,none,71,71,71
female,group A,bachelor's degree,free/reduced,none,66,64,68
female,group A,some college,standard,none,77,77,74
female,group B,some college,free/reduced,none,54,53,53
male,group C,some college,standard,none,73,74,72
male,group E,associate's degree,standard,completed,88,90,88
female,group E,high school,standard,none,71,68,70
male,group A,associate's degree,standard,none,72,73,73
male,group A,master's degree,standard,completed,97,93,96
male,group C,some college,free/reduced,completed,71,74,76
male,group D,master's degree,free/reduced,none,54,53,55
male,group B,some high school,free/reduced,completed,74,74,75
female,group A,bachelor's degree,free/reduced,completed,95,96,93
female,group E,bachelor's degree,free/reduced,none,69,70,67
female,group C,associate's degree,free/reduced,none,62,65,62
male,group B,high school,standard,completed,94,91,86
male,group C,master's degree,standard,none,87,85,86
female,group B,high school,free/reduced,none,48,51,50
male,group B,associate's degree,free/reduced,completed,76,77,78
female,group A,bachelor's degree,standard,none,74,72,77
female,group C,high school,standard,none,77,75,75
female,group C,high school,standard,none,71,73,75
male,group E,bachelor's degree,free/reduced,none,64,66,64
male,group E,master's degree,free/reduced,none,66,70,65
female,group A,bachelor's degree,free/reduced,completed,95,94,93
female,group A,high school,standard,completed,97,97,99
female,group D,master's degree,standard,none,89,88,89
female,group E,master's degree,free/reduced,completed,83,86,84
male,group B,bachelor's degree,free/reduced,none,67,68,69
male,group C,high school,standard,none,65,70,65
female,group A,associate's degree,standard,none,77,76,80
female,group C,high school,standard,none,76,75,75
male,group C,some college,standard,none,77,78,77
male,group D,some high school,free/reduced,completed,68,67,69
female,group E,associate's degree,standard,completed,100,100,100
female,group A,master's degree,standard,none,87,95,94
female,group C,associate's degree,standard,completed,92,92,91
male,group A,master's degree,free/reduced,none,75,76,73
male,group B,master's degree,free/reduced,completed,86,85,89
male,group D,associate's degree,standard,none,62,64,64
female,group B,master's degree,standard,completed,95,100,100
female,group A,master's degree,standard,none,82,83,81
male,group A,some college,free/reduced,none,56,57,55
male,group E,high school,free/reduced,completed,74,76,75
female,group C,high school,free/reduced,completed,64,69,65
male,group C,some high school,standard,none,68,68,69
male,group B,some high school,free/reduced,completed,70,66,69
female,group D,some college,standard,none,88,86,86
male,group C,some high school,standard,completed,89,85,86
female,group E,associate's degree,standard,completed,100,100,100
female,group B,bachelor's degree,free/reduced,none,73,76,77
female,group B,bachelor's degree,standard,completed,100,100,100
female,group E,bachelor's degree,free/reduced,completed,86,86,87
female,group D,some college,free/reduced,none,60,60,64
female,group E,some college,standard,completed,95,100,100
female,group D,master's degree,standard,none,89,86,89
male,group E,bachelor's degree,free/reduced,none,59,58,62
female,group E,associate's degree,standard,none,81,78,82
female,group A,some high school,free/reduced,none,62,63,61
male,group B,associate's degree,standard,none,71,70,71
male,group E,some high school,free/reduced,completed,73,67,72
male,group E,bachelor's degree,free/reduced,none,61,64,63
female,group C,bachelor's degree,free/reduced,none,71,70,65
male,group B,bachelor's degree,free/reduced,completed,86,87,86
female,group C,some college,standard,completed,100,100,100
female,group B,some high school,standard,completed,88,90,90
female,group C,some college,free/reduced,none,59,57,63
female,group E,some college,free/reduced,none,60,58,59
male,group E,high school,standard,none,76,74,80
male,group A,associate's degree,standard,completed,92,97,94
female,group C,associate's degree,standard,none,78,81,81
female,group D,master's degree,standard,completed,100,100,100
female,group A,some college,standard,none,74,73,73
male,group C,some high school,standard,completed,98,99,95
female,group C,high school,free/reduced,none,64,64,59
female,group A,high school,standard,none,77,76,77
male,group E,associate's degree,standard,none,68,69,68
male,group C,some college,free/reduced,completed,73,75,78
female,group E,master's degree,standard,completed,100,100,100
male,group A,some college,standard,none,68,73,68
male,group E,bachelor's degree,standard,none,75,76,73
female,group B,some college,standard,none,78,77,78
male,group D,bachelor's degree,standard,completed,100,97,99
female,group C,bachelor's degree,free/reduced,none,69,69,68
male,group D,master's degree,standard,none,79,78,78
female,group E,some high school,free/reduced,none,57,54,56
female,group C,associate's degree,free/reduced,none,60,58,58
female,group E,some college,standard,completed,100,100,100
male,group B,bachelor's degree,free/reduced,completed,77,80,77
female,group A,some college,standard,none,85,82,79
male,group C,some high school,free/reduced,none,58,57,54
female,group B,associate's degree,free/reduced,completed,85,85,86
female,group B,some high school,standard,completed,100,100,100
male,group C,associate's degree,standard,none,77,73,76
female,group E,high school,standard,completed,100,100,100
female,group B,associate's degree,standard,completed,98,97,95
male,group D,master's degree,standard,none,78,76,81
female,group B,some high school,free/reduced,completed,80,84,78
female,group E,bachelor's degree,free/reduced,completed,88,91,87
female,group E,high school,free/reduced,none,67,70,72
female,group D,master's degree,free/reduced,none,72,70,74
male,group B,some college,free/reduced,completed,73,73,73
male,group E,some high school,free/reduced,none,48,48,46
female,group C,bachelor's degree,free/reduced,completed,89,85,90
male,group A,associate's degree,standard,none,69,74,74
female,group A,bachelor's degree,standard,completed,100,100,100
male,group A,some college,free/reduced,none,68,62,66
female,group B,high school,free/reduced,completed,83,85,87
female,group D,high school,standard,completed,92,94,92
female,group E,some high school,standard,completed,92,85,84
female,group C,high school,standard,none,69,72,66
female,group C,some high school,standard,none,73,69,69
female,group B,some high school,free/reduced,completed,77,79,77
male,group A,some high school,standard,completed,91,91,95
female,group B,associate's degree,free/reduced,none,60,61,61
male,group D,master's degree,free/reduced,none,65,63,66
female,group D,some high school,free/reduced,none,61,64,64
male,group E,some high school,standard,none,67,71,67
male,group E,master's degree,standard,none,73,77,73
male,group D,bachelor's degree,free/reduced,none,70,64,66
female,group D,some high school,free/reduced,completed,88,90,91
female,group D,associate's degree,free/reduced,none,64,66,68
male,group B,high school,standard,completed,75,75,76
female,group D,high school,free/reduced,none,66,67,67
male,group C,some college,standard,none,72,71,70
female,group A,some college,free/reduced,completed,96,100,96
male,group D,high school,free/reduced,completed,75,75,73
male,group A,high school,free/reduced,none,45,40,47
female,group B,associate's degree,standard,completed,87,89,88
male,group A,master's degree,standard,completed,100,100,100
female,group B,some college,free/reduced,completed,91,88,90
male,group C,master's degree,standard,completed,100,100,100
male,group B,associate's degree,free/reduced,none,56,58,63
female,group B,high school,standard,completed,95,92,96
female,group E,some high school,standard,none,71,72,73
female,group D,master's degree,standard,none,84,83,78
male,group D,high school,free/reduced,none,53,56,51
female,group C,high school,standard,none,77,71,76
male,group C,bachelor's degree,standard,completed,95,95,95
male,group D,master's degree,free/reduced,completed,76,77,73
female,group E,some high school,free/reduced,none,63,61,58
female,group D,master's degree,free/reduced,none,67,69,65
male,group E,high school,free/reduced,none,39,34,36
male,group C,some high school,standard,none,72,67,75
female,group A,associate's degree,standard,completed,91,98,95
female,group C,bachelor's degree,standard,none,88,89,86
female,group C,high school,standard,completed,97,97,100
female,group B,some college,standard,none,82,81,83
female,group B,some college,free/reduced,none,79,77,78
male,group B,bachelor's degree,standard,none,81,78,79
male,group B,associate's degree,standard,none,74,73,72
male,group E,high school,standard,completed,91,94,92
male,group D,master's degree,free/reduced,completed,80,88,82
female,group A,bachelor's degree,free/reduced,completed,94,97,98
female,group C,associate's degree,standard,none,76,77,72
female,group E,master's degree,free/reduced,none,67,61,63
male,group A,some college,free/reduced,completed,83,83,82
male,group E,some college,free/reduced,completed,71,74,73
female,group E,master's degree,free/reduced,none,71,69,78
female,group C,bachelor's degree,free/reduced,none,74,74,70
male,group D,some college,free/reduced,completed,75,77,79
male,group B,high school,free/reduced,none,58,56,56
female,group D,some high school,standard,none,69,68,70
female,group C,master's degree,standard,completed,100,100,100
male,group C,master's degree,free/reduced,none,67,62,64
female,group C,some college,standard,completed,100,100,99
female,group A,bachelor's degree,standard,none,83,82,83
female,group D,high school,free/reduced,completed,86,83,81
male,group D,bachelor's degree,standard,none,82,82,85
male,group E,associate's degree,free/reduced,completed,86,92,84
male,group E,associate's degree,free/reduced,completed,80,77,75
male,group E,some high school,free/reduced,completed,81,79,77
male,group C,some college,standard,completed,98,96,97
male,group D,some college,standard,none,85,84,87
male,group C,some college,standard,none,73,75,75
female,group A,some high school,standard,completed,91,96,91
female,group E,associate's degree,free/reduced,none,70,72,71
female,group C,bachelor's degree,free/reduced,none,70,71,69
female,group C,some high school,standard,none,82,79,79
female,group A,some high school,free/reduced,none,64,65,64
female,group B,bachelor's degree,free/reduced,none,60,57,61
female,group D,some college,standard,completed,100,99,100
male,group B,high school,free/reduced,completed,76,75,79
male,group E,bachelor's degree,standard,completed,100,96,100
female,group C,associate's degree,free/reduced,completed,84,81,87
female,group A,master's degree,standard,none,79,80,76
male,group A,master's degree,free/reduced,none,67,66,72
female,group D,some high school,free/reduced,completed,83,79,86
female,group B,master's degree,standard,none,89,90,89
male,group D,high school,standard,none,61,62,61
female,group C,some college,standard,completed,100,100,100
male,group D,associate's degree,standard,none,72,69,71
female,group A,high school,free/reduced,completed,79,82,78
male,group A,associate's degree,free/reduced,completed,81,77,77
male,group E,associate's degree,standard,none,77,80,78
male,group E,some college,free/reduced,none,59,57,57
female,group C,some high school,standard,completed,88,91,90
male,group B,master's degree,standard,completed,100,100,100
female,group D,some college,free/reduced,none,64,62,62
female,group C,high school,free/reduced,completed,78,81,79
female,group E,some high school,standard,completed,75,76,78
female,group D,high school,standard,completed,98,98,97
male,group E,some high school,standard,none,69,70,66
male,group D,high school,free/reduced,completed,66,69,68
female,group B,some college,free/reduced,none,69,74,68
female,group C,some high school,free/reduced,completed,84,84,80
male,group D,some high school,free/reduced,none,50,52,54
female,group A,associate's degree,standard,completed,92,99,95
male,group A,associate's degree,standard,none,76,79,78
female,group D,bachelor's degree,standard,none,87,82,83
female,group D,high school,standard,none,83,78,78
male,group D,associate's degree,standard,completed,96,90,93
female,group A,bachelor's degree,standard,completed,100,100,100
male,group A,associate's degree,free/reduced,completed,76,78,78
female,group D,high school,free/reduced,none,55,54,54
female,group E,some high school,standard,completed,88,86,90
female,group E,master's degree,standard,none,83,83,87
male,group B,high school,free/reduced,completed,74,74,75
female,group C,some college,free/reduced,none,65,62,66
female,group E,associate's degree,free/reduced,none,65,62,64
female,group A,associate's degree,free/reduced,none,68,72,69
female,group E,some high school,standard,completed,93,90,91
male,group B,some college,standard,completed,88,87,81
male,group B,some high school,standard,completed,89,91,90
female,group C,some college,standard,none,72,69,72
male,group E,master's degree,standard,none,83,80,80
female,group A,associate's degree,free/reduced,completed,91,91,93
female,group A,associate's degree,standard,completed,94,93,94
female,group D,master's degree,free/reduced,completed,99,95,93
male,group A,bachelor's degree,standard,none,83,84,86
male,group C,some high school,standard,none,76,71,75
male,group C,master's degree,standard,none,81,78,82
male,group A,some high school,standard,none,65,64,62
male,group A,high school,standard,none,72,74,74
male,group D,associate's degree,free/reduced,completed,73,75,75
male,group A,some high school,free/reduced,none,57,55,55
male,group D,some college,free/reduced,none,60,55,60
male,group D,some high school,standard,none,72,77,76
female,group A,high school,standard,none,77,79,78
male,group B,associate's degree,free/reduced,none,59,60,56
male,group B,master's degree,standard,completed,91,91,91
male,group D,high school,standard,none,63,66,68
male,group A,associate's degree,free/reduced,none,63,62,61
male,group B,some high school,standard,none,72,73,69
male,group A,bachelor's degree,free/reduced,completed,76,77,79
male,group A,bachelor's degree,standard,completed,91,90,90
male,group A,some college,free/reduced,completed,80,80,79
male,group E,associate's degree,standard,none,71,69,70
male,group A,bachelor's degree,standard,completed,93,94,93
male,group E,master's degree,free/reduced,none,66,69,68
female,group D,associate's degree,standard,none,86,84,85
female,group B,master's degree,standard,completed,98,99,100
male,group B,master's degree,free/reduced,none,60,65,66
male,group B,bachelor's degree,standard,none,81,79,74
female,group B,associate's degree,free/reduced,none,62,66,65
